City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Boras,SE,57.721,12.9401,49.82,60,11,10.13,few clouds
305,Kismayo,SO,-0.3582,42.5454,81.03,69,96,14.25,overcast clouds
306,Caravelas,BR,-17.7125,-39.2481,74.62,85,100,6.53,overcast clouds
307,Kousseri,CM,12.0769,15.0306,90.03,40,94,3.51,overcast clouds
308,Tyssedal,NO,60.1165,6.562,43.88,99,100,9.33,overcast clouds
309,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,13.8,few clouds
310,Bengkulu,ID,-3.8004,102.2655,79.54,80,99,3.04,moderate rain
311,Esmeraldas,BR,-19.7625,-44.3139,68.86,80,10,5.53,clear sky
312,Znamenskoye,RU,57.1281,73.8282,38.86,56,96,13.58,overcast clouds
313,Clyde River,CA,70.4692,-68.5914,19.42,74,86,4.5,overcast clouds
314,Buraydah,SA,26.326,43.975,92.66,14,1,3.22,clear sky
315,Lucapa,AO,-8.4192,20.7447,82.15,56,90,5.14,light rain
316,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,82,20,11.5,volcanic ash
317,San Fernando,PH,15.0286,120.6898,85.14,80,95,3.98,overcast clouds
318,Rio Grande,BR,-32.035,-52.0986,55.94,79,0,5.86,light rain
319,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,66,80,5.35,broken clouds
320,Puri,IN,19.8,85.85,90.12,58,14,0.6,few clouds
321,Perepravnaya,RU,44.3366,40.7849,68.79,31,0,5.7,clear sky
322,Kihei,US,20.785,-156.4656,77.85,81,1,6.91,clear sky
323,Haimen,CN,23.1935,116.6142,64.11,76,100,10.4,light rain
324,Saint-Pierre,RE,-21.3393,55.4781,84.56,70,20,11.5,light rain
325,Kalmunai,LK,7.4167,81.8167,84.16,73,62,9.95,broken clouds
326,North Branch,US,45.5113,-92.9802,34.9,99,94,4.07,overcast clouds
327,Wajima,JP,37.4,136.9,57.54,56,66,15.59,broken clouds
328,Carutapera,BR,-1.195,-46.02,83.91,69,82,5.26,broken clouds
329,Hervey Bay,AU,-25.2986,152.8535,77.04,84,63,14.81,broken clouds
330,Norman Wells,CA,65.282,-126.8329,31.15,90,85,6.08,overcast clouds
331,Santa Catalina,PH,9.3337,122.8637,80.35,84,100,7.4,light rain
332,Lagoa,PT,39.05,-27.9833,67.51,70,85,6.4,overcast clouds
333,Teguldet,RU,57.3064,88.1667,42.35,69,100,12.75,overcast clouds
334,Misratah,LY,32.3754,15.0925,79.09,48,67,19.33,broken clouds
335,Namangan,UZ,40.9983,71.6726,54.05,40,40,6.91,scattered clouds
336,Talnakh,RU,69.4865,88.3972,14.92,96,100,3.13,overcast clouds
337,San Cristobal,VE,7.7669,-72.225,66.38,97,32,2.33,scattered clouds
338,Cururupu,BR,-1.8283,-44.8683,82.24,77,93,4.59,overcast clouds
339,Port Lincoln,AU,-34.7333,135.8667,56.3,75,4,10.18,clear sky
340,Beckley,US,37.7782,-81.1882,48.61,95,90,6.91,overcast clouds
341,Orebro,SE,59.2741,15.2066,47.25,30,62,12.66,broken clouds
342,Mustafakemalpasa,TR,40.0353,28.4117,72.36,29,0,6.46,clear sky
